SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-24-2022,Single Family Residential,440 Kaulana St,Kahului,HI,96732,1100000,6.0,4.0,Kahului,2216.0,8581.0,1967.0,,496.0,,Sold,,,https://www.redfin.com/HI/Kahului/440-Kaulana-St-96732/home/88596484,RAM MLS,395606.0,N,Y,20.880758,-156.4751634
PAST SALE,November-3-2022,Condo/Co-op,111 Kahului Beach Rd Unit B310,Kahului,HI,96732-1223,225000,2.0,1.5,Kahului,787.0,327136.0,1974.0,,286.0,585.0,Sold,,,https://www.redfin.com/HI/Kahului/111-Kahului-Beach-Rd-96732/unit-B310/home/88594166,RAM MLS,396451.0,N,Y,20.8911039,-156.4749077
PAST SALE,September-19-2022,Condo/Co-op,111 Kahului Beach Rd Unit D420,Kahului,HI,96732,260000,2.0,1.5,Kahului,787.0,327136.0,1974.0,,330.0,583.0,Sold,,,https://www.redfin.com/HI/Kahului/111-Kahului-Beach-Rd-96732/unit-D420/home/88594266,RAM MLS,396724.0,N,Y,20.8911039,-156.4749077
PAST SALE,August-31-2022,Single Family Residential,11-3068 Nalehua Rd,Volcano,HI,96785,320000,1.0,1.0,Hawaiian Orchid Island Estate,480.0,130680.0,1992.0,,667.0,,Sold,,,https://www.redfin.com/HI/Volcano/11-3068-Nalehua-RD-96785/home/176410848,HI Information Service,652793.0,N,Y,19.44388954,-155.17788458
PAST SALE,September-23-2022,Vacant Land,12-4375 Pahoa Kalapana Rd,Pahoa,HI,96778,286000,,,Kikala - Keokea Homesteads,,1425327.0,,,,,Sold,,,https://www.redfin.com/HI/Pahoa/12-4375-Pahoa-Kalapana-Rd-96778/home/88394623,HI Information Service,664521.0,N,Y,19.406133,-154.950966
PAST SALE,September-14-2022,Single Family Residential,11-1407 Anthurium St,Mountain View,HI,96771,445000,3.0,3.0,Fern Acres,2624.0,87120.0,1984.0,,170.0,,Sold,,,https://www.redfin.com/HI/Mountain-View/11-1407-Anthurium-ST-96771/home/178449147,HI Information Service,658421.0,N,Y,19.47666674,-155.06632163
PAST SALE,October-3-2022,Single Family Residential,16-1412 Hopue Rd (road 3),Mountain View,HI,96771,209000,2.0,2.0,Hawaiian Acres,1144.0,130680.0,2008.0,,183.0,,Sold,,,https://www.redfin.com/HI/Mountain-View/16-1412-Hopue-Rd-96771/home/146417095,HI Information Service,664075.0,N,Y,19.5379613,-155.0711066
PAST SALE,September-20-2022,Single Family Residential,16-2039 King Kamehameha Blvd,Pahoa,HI,96778,292000,2.0,1.0,Ainaloa,832.0,9854.0,1980.0,,351.0,,Sold,,,https://www.redfin.com/HI/Pahoa/16-2039-King-Kamehameha-Dr-96778/home/166624961,HI Information Service,661234.0,N,Y,19.5270703,-154.9917935
PAST SALE,August-25-2022,Single Family Residential,16-2063 Pearl Dr,Pahoa,HI,96778,429900,3.0,2.0,Ainaloa,1212.0,12000.0,2021.0,,355.0,,Sold,,,https://www.redfin.com/HI/Pahoa/16-2063-Pearl-Dr-96778/home/169253361,HI Information Service,663427.0,N,Y,19.520425,-155.000296
PAST SALE,September-9-2022,Single Family Residential,16-2090 Pearl Dr,Pahoa,HI,96778,440000,3.0,2.0,Ainaloa,1345.0,12000.0,2022.0,,327.0,,Sold,,,https://www.redfin.com/HI/Pahoa/16-2090-Pearl-Dr-96778/home/166619762,HI Information Service,660233.0,N,Y,19.5186561,-154.9998572
